Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
JARALIGNMENT,JARM ESL Alignment,T,F,T,F,T,,,
,,,,,,,,,
,,,,,,,,,
1,Customer Services,,,,,,,,
1.1,Customer Relationship Management,,,,,,,,
1.2,Customer Preeferences,,,,,,,,
1.3,Customer Initiated Assitance,,,,,,,,
2,Process Automation Services,,,,,,,,
2.1,Tracting and Workflow,,,,,,,,
2.2,Routing and Scheduling,,,,,,,,
3,Business Management Services,,,,,,,,
3.1,Management of Process,,,,,,,,
3.2,Organizational Management,,,,,,,,
3.3,Investment Management,,,,,,,,
3.4,Supply Chain Management,,,,,,,,
4,Digital Asset Services,,,,,,,,
4.1,Analysis and Statistics,,,,,,,,
4.2,Mission Performance,,,,,,,,
4.3,Visualization,,,,,,,,
4.4,Knowledge Discovery,,,,,,,,
4.5,Business Intelligence,,,,,,,,
4.6,Reporting,,,,,,,,
5,Back Office Services,,,,,,,,
5.1,Data Management,,,,,,,,
5.2,Human Resources,,,,,,,,
5.3,Financial Management,,,,,,,,
5.4,Asset / Materials Management,,,,,,,,
5.5,Development and Integration,,,,,,,,
5.6,Human Capital / Workforce Management,,,,,,,,
6,Support Services,,,,,,,,
6.1,Security Management,,,,,,,,
6.2,Collaboration,,,,,,,,
6.3,Search,,,,,,,,
6.4,Communication,,,,,,,,
6.5,System Management,,,,,,,,
6.6,Forms Management,,,,,,,,
6.7,Service Management,,,,,,,,
