Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
JCAALIGNMENT,JCA Alignment,T,F,T,F,T,,,
,,,,,,,,,
1,Force Support,,,,,,,,
1.1,Force Management,,,,,,,,
1.1.1,,Global Force Management,,,,,,,
1.1.1.1,,,Apportionment,,,,,,
1.1.1.2,,,Assignment,,,,,,
1.1.1.3,,,Allocation,,,,,,
1.1.1.4,,,Readiness Reporting,,,,,,
1.1.2,,Force Configuration,,,,,,,
1.1.3,,Global Posture Execution,,,,,,,
1.2,Force Preparation,,,,,,,,
1.2.1,,Training,,,,,,,
1.2.2,,Exercising,,,,,,,
1.2.3,,Educating,,,,,,,
1.2.3.1,,,Professional Military Education,,,,,,
1.2.3.2,,,Civilian Education,,,,,,
1.2.4,,Doctrine,,,,,,,
1.2.5,,Lessons Learned,,,,,,,
1.2.6,,Concepts,,,,,,,
1.2.7,,Experimentation,,,,,,,
1.3,Human Capital Management,,,,,,,,
1.3.1,,Personnel and Family Support,,,,,,,
1.3.1.1,,,Community Support,,,,,,
1.3.1.2,,,Casualty Assistance,,,,,,
1.3.1.3,,,Mortuary Affairs,,,,,,
1.3.1.4,,,"Wounded, ill and Injured Support",,,,,,
1.3.2,,Personnel Management,,,,,,,
1.3.2.1,,,Manning,,,,,,
1.3.2.2,,,Compensation,,,,,,
1.3.2.3,,,Disability Evaluation,,,,,,
1.3.2.4,,,Personnel Accountability,,,,,,
1.4,Health Readiness,,,,,,,,
1.4.1,,Force Health Protection,,,,,,,
1.4.1.1,,,Human Performance Enhancement,,,,,,
1.4.1.2,,,Medical Surveillance / Epidemiology,,,,,,
1.4.1.3,,,Preventive Medicine,,,,,,
1.4.1.4,,,In-transit Care,,,,,,
1.4.1.4.1,,,,In-Transit Care within a Joint Operational Area Intra-Theater ,,,,,
1.4.1.4.2,,,,In-Transit Care Outside a Joint Operational Area Inter-Theater ,,,,,
1.4.1.5,,,Casualty Management,,,,,,
1.4.1.5.1,,,,Biomedical Support,,,,,
1.4.1.5.2,,,,Ocular Health,,,,,
1.4.2,,Health Care Delivery,,,,,,,
1.4.2.1,,,Comprehensive Care Delivery in Military Facilities,,,,,,
1.4.2.2,,,Comprehensive Care Delivery via the Network of Civilian Providers,,,,,,
1.4.3,,Health Service Support,,,,,,,
2,Battlespace Awareness,,,,,,,,
2.1,"Intelligence, Surveillance and Reconnaissance",,,,,,,,
2.1.1,,"Intelligence, Surveillance and Reconnaissance Planning & Direction",,,,,,,
2.1.1.1,,,"Define and Prioritize Intelligence, Surveillance and Reconnaissance Requirements ",,,,,,
2.1.1.2,,,Develop a Collection Strategy,,,,,,
2.1.1.3,,,"Task and Monitor Collection, Processing, Exploitation and Dissemination Resources ",,,,,,
2.1.1.4,,,"Intelligence, Surveillance and Reconnaissance Evaluation  Evaluation",,,,,,
2.1.2,,Collection,,,,,,,
2.1.2.1,,,Signals Collection,,,,,,
2.1.2.1.1,,,,Communications Signals Collection ,,,,,
2.1.2.1.2,,,,Electronic Emissions Signals Collection ,,,,,
2.1.2.1.3,,,,Foreign Instrumentation Signals Collection ,,,,,
2.1.2.2,,,Computer Network Collection,,,,,,
2.1.2.3,,,Imagery Collection,,,,,,
2.1.2.3.1,,,,Electro-Optical Imagery Collection ,,,,,
2.1.2.3.1.1,,,,,Panchronatic Collection,,,,
2.1.2.3.1.2,,,,,Infrared Collection,,,,
2.1.2.3.1.3,,,,,Ultraviolet Collection,,,,
2.1.2.3.1.4,,,,,Specttral Collection,,,,
2.1.2.3.1.5,,,,,Light Detection and Ranging Collection,,,,
2.1.2.3.2,,,,RADAR Imagery Collection ,,,,,
2.1.2.4,,,Measurements and Signatures Collection ,,,,,,
2.1.2.4.1,,,,Electro-Optical Signatures Collection ,,,,,
2.1.2.4.2,,,,Radar Measurements and Signatures Collection ,,,,,
2.1.2.4.3,,,,Geophysical Measurements & Signatures Collection ,,,,,
2.1.2.4.4,,,,Radio-Frequency Signatures Collection ,,,,,
2.1.2.4.5,,,,Chemical / Biological Materials Measurements and Signatures Collection,,,,,
2.1.2.4.6,,,,Nuclear Radiation Measurements and Signatures Collection,,,,,
2.1.2.5,,,"Human Intelligence, Surveillance and Reconnaissance Collection",,,,,,
2.1.2.5.1,,,,Interrogation ,,,,,
2.1.2.5.2,,,,Source Operations ,,,,,
2.1.2.5.3,,,,Debriefing ,,,,,
2.1.2.5.4,,,,Ground Reconnaissance ,,,,,
2.1.2.5.5,,,,Biometrics Collection ,,,,,
2.1.2.5.6,,,,Media Collection,,,,,
2.1.3,,Processing / Exploitation,,,,,,,
2.1.3.1,,,Data Transformation,,,,,,
2.1.3.2,,,Objective / Target Categorization ,,,,,,
2.1.4,,Analysis and Production,,,,,,,
2.1.4.1,,,"Intelligence, Surveillance and Reconnaissance Analysis Integration ",,,,,,
2.1.4.2,,,Intelligence Evaluation and Interpretation ,,,,,,
2.1.4.3,,,"Intelligence, Surveillance and Reconnaissance Product Generation ",,,,,,
2.1.5,,"Intelligence, Surveillance and Reconnaissance Dissemination",,,,,,,
2.1.5.1,,,"Real-Time Intelligence, Surveillance and Reconnaissance Data Transmission",,,,,,
2.1.5.2,,,"Intelligence, Surveillance and Reconnaissance Data Access ",,,,,,
2.2,Environment,,,,,,,,
2.2.1,,Collect,,,,,,,
2.2.1.1,,,Collect Land Environmental Measurements ,,,,,,
2.2.1.2,,,Collect Ocean Environmental Measurements ,,,,,,
2.2.1.3,,,Collect Hydrographic Measurements ,,,,,,
2.2.1.4,,,Collect Bathymetric Measurements ,,,,,,
2.2.1.5,,,Collect Astrometry Measurements ,,,,,,
2.2.1.6,,,Collect Atmospheric Environmental Measurements ,,,,,,
2.2.1.7,,,Collect Space Environmental Measurements ,,,,,,
2.2.2,,Analyze,,,,,,,
2.2.2.1,,,Analyze Land Environment ,,,,,,
2.2.2.2,,,Analyze Ocean Environment ,,,,,,
2.2.2.3,,,Analyze Hydrographic Measurements,,,,,,
2.2.2.4,,,Analyze Bathymetric Measurements ,,,,,,
2.2.2.5,,,Analyze Atmospheric Environment ,,,,,,
2.2.2.6,,,Analyze Space Environment ,,,,,,
2.2.3,,Predict,,,,,,,
2.2.3.1,,,Predict Land Environment ,,,,,,
2.2.3.2,,,Predict Ocean Environment ,,,,,,
2.2.3.3,,,Predict Atmospheric Environment ,,,,,,
