Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
TYPE,Component Type,F,T,T,T,F,APP,Application,An application is a human or machine accessible executable software implementation with one or more application endpoints. Applications perform multiple functions based on direct inputs from user interfaces or application and service instances
TYPE,Component Type,F,T,T,T,F,DEVTOOL,Development Tools,Tools that aid in software development
TYPE,Component Type,F,T,T,T,F,DOC,Documentation,
TYPE,Component Type,F,T,T,T,F,ENV,Environment,An Environment describes an IT infrastructure solution composed of both software and hardware used to host deployed applications and services.
TYPE,Component Type,F,T,T,T,F,WIDGET,Widget,
TYPE,Component Type,F,T,T,T,F,OTH,Other,
TYPE,Component Type,F,T,T,T,F,OZONE,OZONE App,OZONE app
TYPE,Component Type,F,T,T,T,F,SERVICE,Service Endpoint,"A service Endpoint is a runtime access point for one instance of an implemented service, widget, application, or environment."
TYPE,Component Type,F,T,T,T,F,SOFTWARE,Software,A Software asset is an executable digital product or source code file A program would install and integrate a software asset into their Environment
TYPE,Component Type,F,T,T,T,F,SPEC,"Standards, Specifications, and APIs",
TYPE,Component Type,F,T,T,T,F,WEBAPP,Web App,
LIFECYCSTG,Lifecycle Stage,F,F,F,F,F,CNPTDEF,Concept Definition,
LIFECYCSTG,Lifecycle Stage,F,F,F,F,F,DEV,Development,
LIFECYCSTG,Lifecycle Stage,F,F,F,F,F,PILOT,Deployment Pilot,
LIFECYCSTG,Lifecycle Stage,F,F,F,F,F,OPR,Operations,
LIFECYCSTG,Lifecycle Stage,F,F,F,F,F,DEPR,Deprecated,
LIFECYCSTG,Lifecycle Stage,F,F,F,F,F,RET,Retired,
OWFCOMP,OWF Compatible ,F,F,F,F,F,Y,Yes,
OWFCOMP,OWF Compatible ,F,F,F,F,F,N,No,
ACCSTATUS,Accreditation Status,F,F,F,F,F,ATO,ATO,
ACCSTATUS,Accreditation Status,F,F,F,F,F,IATO,IATO,
ACCSTATUS,Accreditation Status,F,F,F,F,F,ATOWPOA&M,ATO with POA&M,
ACCSTATUS,Accreditation Status,F,F,F,F,F,IATT,IATT,
ACCSTATUS,Accreditation Status,F,F,F,F,F,OTH,Other,
ACCPROCESS,Accreditation Process,F,F,F,F,F,DOD8500,DoD 8500,
ACCPROCESS,Accreditation Process,F,F,F,F,F,DCID6/3,DCID 6/3,
ACCPROCESS,Accreditation Process,F,F,F,F,F,ICD 503,DoD 8500,
ACCPROCESS,Accreditation Process,F,F,F,F,F,OTH,Other,
NETWORKACC,Network Accredited On,F,F,F,F,T,WWW,Public Internet,
NETWORKACC,Network Accredited On,F,F,F,F,T,NIPR,NIPR,
NETWORKACC,Network Accredited On,F,F,F,F,T,SIPR,SIPR,
NETWORKACC,Network Accredited On,F,F,F,F,T,JWICS,JWICS,
PROIMPLEV,Protection / Impact Level,F,F,F,F,F,DODMAC,DoD MAC Level,
PROIMPLEV,Protection / Impact Level,F,F,F,F,F,DCID6/3,DCID 6/3 Protection Level,
PROIMPLEV,Protection / Impact Level,F,F,F,F,F,ICD503,ICD 503 Impact Level,
PROIMPLEV,Protection / Impact Level,F,F,F,F,F,PL-3,PL-3,
NETWORK,Network(s) Fielded,F,F,F,F,T,WWW,Public Internet,
NETWORK,Network(s) Fielded,F,F,F,F,T,NIPR,NIPR,
NETWORK,Network(s) Fielded,F,F,F,F,T,SIPR,SIPR,
NETWORK,Network(s) Fielded,F,F,F,F,T,JWICS,JWICS,
CEEAR,Commercial Exportable via EAR,F,F,F,F,F,Y,Yes,
CEEAR,Commercial Exportable via EAR,F,F,F,F,F,N,No,
ITAR,ITAR Exportable,F,F,F,F,F,Y,Yes,
ITAR,ITAR Exportable,F,F,F,F,F,N,No,
LICTYPE,License Type,F,F,F,F,F,OPENSRC,Open Source,
LICTYPE,License Type,F,F,F,F,F,ENT,Enterprise,
