TagValue_UID,TagValue_Number,TagValue_Service Name,TagNotes_Service Definition,TagNotes_Service Description,TagValue_JCA Alignment,TagNotes_JCSFL Alignment,TagValue_JARM/ESL Alignment,TagNotes_Comments
359,3.5.1.1,Dissemination Authorization,"Dissemination Authorization supports the process to submit, track, and authorize requests to release information.","The Dissemination Authorization service receives an intelligence report and information the entity a report will be disseminated to, and uses classification markings, security metadata, information about the entity, and possibly even man-in-the-loop, to determine if the report is releasable to the specified entity.",6.4.1.1 Assure Access,"7.1.51 Broadcast Information
7.1.95 Disseminate Sensor Products
8.7.22 Disseminate Data
14.1.11 Disseminate Intelligence Products",6.02.03 Content Delivery Services,None
336,3.4.8.4,Weather Effect  Planning,Weather Effect Planning supports the planning and analysis of weather on operations and collections.,N/A,5.2 Understand,(gap),(gap),"Is this the actual weather service, or is it a planning tool that utilizes the weather services?"
350,3.4.6.2,Structured Analytic Techniques,Structured Analytic Techniques services provide the mechanism by which internal thought processes are externalized in a systematic and transparent manner.,N/A,2.4.3 Interpretation (AP),(gap),(gap),None
79,3.4.3.2,Identity Disambiguation,Identity Disambiguation determines if one entity (usually a person) is the same as another entity by analyzing descriptive information on the two entities.,Identity Disambiguation typically takes people names (but sometimes place names or institution names) and determines if they refer to the same entity.  This is done in one (or both) of two ways: (1) names can be compared with each other via similarity metrics or association dictionaries or (2) by comparing associated metadata to determine degrees of similarity.,2.4.3 Interpretation (AP),(gap),(gap),Dependency on data analytics
78,3.4.3.1,Entity Activity Patterns,"The Entity Activity Patterns service determines intelligence relationships among specific objects such as people, places, items, and events.","Entity Activity Patterns takes information about people, places, material items, organizations, events, etc. and organizes them into spatio-temporal and linkage contexts.  This enables highlighting of associations indicative of key patterns of activity such as geographic/geospatial location, memberships, clandestine organizational structures, financial activity patterns, attack indicator patterns, travel patterns, and so-called ""patterns of life"". 

Service operations will include interrelated data organizing, filtering, display, and linkage analysis tools.",2.4.3 Interpretation (AP),14.1.4  Produce Human Intelligence (HUMINT) Data,7.04.08 Link Analysis Services,Dependency on data analytics
76,3.4.3,HUMINT Analysis,The HUMINT Analysis family establishes intelligence derived from human collected information sources.,"The CI/HUMINT Analysis family provides intelligence derived from information collected by counter intelligence and/or human sources.  Typically HUMINT data is written reports containing raw text, but it may also be electronic telephone records, online sources, computer sources, audio transcripts, etc.
The objective of CI/HUMINT Analysis is to transform and filter the raw source material into an organized format that allows reports to be generated concerning specific people, activities, items (such as smuggled goods), institutional structures (such as insurgent cell networks and command chains), and events (both past and planned).
Specific CI/HUMINT services include:
  • Entity Linkages - which associates CI/HUMINT related reports based on related metadata. 
  • Entity Activity Patterns - which determines intelligence relationships among specific objects such as people, places, items, and events.
  • Identity Disambiguation - which determines if one entity (usually a person) is the same as another entity by analyzing descriptive information on the two entities.",family,family,family,family
81,3.3.6,Support to Targeting,The Support to Targeting family provides the data necessary for the   target development process.,"Support to Targeting services implement target development process including managing and maintaining target lists, assisting in target development, functionality and vulnerability assessment, impact point  specification, status reporting, and targeting report dissemination.   

Specific services include:

  • Target Management - which compiles and reports target information 
  • Target Data Matrix - which provides current target status  
  • Target Validation - which portrays and locates target services, indicates vulnerabilities, and maintains relative target importance.
  • Target Folder - which maintains hosts target intelligence artifacts 
  • Target List - which maintains summaries of candidate targets",family,family,family,"GVS MIDB related services seem to apply here, but not sure exactly how at the lower levels"
38,3.2.1.4,Sensor Alerting,Sensor Alerting delivers sensor notifications to registered endpoints based on client-configurable subscriptions.,"Sensor Alerting  requests information about sensors and servers, add or delete sensor information from an external catalog,  subscribe or unsubscribe to a sensor status, or add, modify, or delete sensor metadata from a sensor instance.    It receives metadata documents describing a server's abilities along with the sensor description, then retrieves a sensor alert message structure template along with the WSDL definition for the sensor interface.    A client can also subscribe to a sensor's alerts, renew an existing subscription, or cancel a subscription.  Optionally, servers can advertise the type of information published, renew an existing advertisement, or cancel an advertisement.                        

[This service is supported by the OGC SWE SES discussion paper.]",2.1.3 Task and Monitor Resources (P&D),"3.3.5 Generate Alert
3.3.13 Manage Alerts and Indications",(gap),None
37,3.2.1.3,Sensor Command Conversion,Sensor Command Conversion converts sensor requests into sensor specific commands.,Sensor Command Conversion converts collection requests into tasking formats that a specific sensor type can understand.  The resulting commands are then sent to the sensor.,2.1.3 Task and Monitor Resources (P&D),1.4.32 Convert Geospatial Intelligence (GEOINT) Sensor Requests,(gap),None
342,3.2.1.2,Sensor Cross Queuing,"Sensor Cross Queuing passes detection, Geo-location and targeting information to another sensor.","The Sensor Cross Cueing service is broken into three subservices:  
(1) Cue Instruction Definition - allows the client to develop a set of sensor cue instructions that accomplish a specific objective.  These instructions describe the parameters which trigger a sensor detection and rules by which the sensor determines what other sensors and/or detection adjudication servers to notify once a detection is made.   The Cue Instruction Definition subservice consists of a set of operations that can be performed by the client. 
(2) Cue Instruction Distribution  - Once a set of sensor cue instructions are developed for a specific objective,  the Cue Instruction Distribution subservice allows a client to distribute those instructions to the appropriate sensors and/or detection adjudication servers 
(3) Detection Distribution  - Once a sensor has made a detection, Detection Distribution distributes the detection, geo-location, and targeting information to other sensors and/or detection adjudication servers that were defined in the previously received cue instruction set.                 

Scoping note:  Correlation and fusion of sensor data is outside the scope of Sensor Cross Cueing.",2.1.3 Task and Monitor Resources (P&D),"1.1.20 Perform Signal Parametric Analysis
1.4.1 Fuse Sensor Data
1.4.6 Coordinate Sensor Employment with Operational Plans and Employment
1.4.27 Reconfigure Netted Sensor Grid Dynamically",(gap),None
